Bagasse,Bagasse
BatteryStorage,Battery
Biomassandindustrialmaterials,Biomass
Blackcoal,Black Coal
Browncoal,Brown Coal
Coalminewastegas,Waste Coal Mine Gas
Coalseammethane,Coal Seam Methane
Dieseloil,Diesel
Hydro,Water
Kerosenenonaviation,Kerosene
Landfillbiogasmethane,Landfill Methane / Landfill Gas
NaturalGasPipeline,Natural Gas
OtherBiofuels,Unknown
Othersolidfossilfuels,Unknown
Primarysolidbiomassfuels,Biomass
Solar,Solar
Wind,Wind
